	R	G	B	
normalized				
627	0.560438951	0.014204793	0.000417653	
628	0.546306047	0.013159041	0.000348044	
629	0.535609378	0.012374728	0.000208826	
630	0.524912709	0.011590414	6.96088E-05	
631	0.514216039	0.0108061	-6.96088E-05	
632	0.50351937	0.009934641	-0.000208826	
633	0.492822701	0.009150327	-0.000348044	
634	0.482126032	0.008366013	-0.000487262	
635	0.467882281	0.007407407	-0.000696088	
636	0.453693953	0.006448802	-0.000904914	
637	0.439505625	0.00540305	-0.001113741	
638	0.425261874	0.004444444	-0.001322567	
639	0.413512165	0.004793028	-0.001044132	
640	0.401707033	0.005228758	-0.000765697	
641	0.389901901	0.005577342	-0.000487262	
642	0.378152192	0.006013072	-0.000208826	
643	0.36634706	0.006361656	6.96088E-05	
644	0.354541928	0.006797386	0.000348044	
645	0.345840492	0.00627451	0.000139218	
646	0.337139057	0.005664488	0	
647	0.328382198	0.005141612	-0.000139218	
648	0.319680763	0.004618736	-0.000278435	
649	0.311478136	0.00453159	-0.000278435	
650	0.303275509	0.004357298	-0.000278435	
651	0.295072881	0.004270153	-0.000278435	
652	0.286870254	0.004095861	-0.000278435	
653	0.278667627	0.004008715	-0.000278435	
654	0.270465	0.003834423	-0.000278435	
655	0.261763565	0.003311547	-0.000417653	
656	0.253062129	0.002788671	-0.000626479	
657	0.244305271	0.002265795	-0.000835306	
658	0.235603835	0.001742919	-0.000974523	
659	0.2269024	0.001220044	-0.00118335	
660	0.218200964	0.000697168	-0.001322567	
661	0.203347559	0.000784314	-0.001252958	
662	0.188494153	0.00087146	-0.00118335	
663	0.173640747	0.000958606	-0.001044132	
664	0.158787341	0.001045752	-0.000974523	
665	0.149254559	0.001045752	-0.000974523	
666	0.139721776	0.001045752	-0.000974523	
667	0.130188993	0.000958606	-0.000904914	
668	0.12065621	0.000958606	-0.000904914	
669	0.111068004	0.000958606	-0.000904914	
670	0.101535221	0.000958606	-0.000904914	
671	0.089951782	0.000522876	-0.000974523	
672	0.078312919	8.7146E-05	-0.001044132	
673	0.066674056	-0.000348584	-0.00118335	
674	0.055090617	-0.000697168	-0.001252958	
675	0.050712188	-0.00087146	-0.001252958	
676	0.046389181	-0.001045752	-0.001322567	
